rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/clip_range
94.39,622592,304,0.86493234,19654,31,0.812677651643753,0.000259251,-0.024613933162375663,0.17171223958333334,0.000585304696263241,909,0.10127067,-0.04239526391029358,-0.3555009593255818,0.2
91.81,624640,305,0.8647382800000001,19718,31,0.8042415082454681,0.000259251,-0.02623797281800459,0.166015625,0.000578852906225317,912,0.12774199,-0.0638905018568039,-0.39346657507121563,0.2
89.37,626688,306,0.87282283,19776,31,0.7322744429111481,0.000259251,-0.024280436657136306,0.1708984375,0.000697605415552971,915,0.12500419,-0.03835795819759369,-0.2899419857809941,0.2
88.31,628736,307,0.8911214599999998,19846,31,0.75838503241539,0.000259251,-0.02287061129269811,0.14404296875,0.0006682981399232327,918,0.11257385,-0.04492606222629547,-0.2636675420217216,0.2
87.18,630784,308,0.9080894799999999,19907,31,0.726112574338913,0.000259251,-0.02177904603013303,0.1484375,0.0007114754777527802,921,0.08550819,-0.020765582099556923,-0.25996434114252526,0.2
86.02,632832,309,0.91135607,19970,31,0.6836955547332764,0.000259251,-0.022717513677586492,0.13785807291666666,0.0007457087637400642,924,0.11239832,-0.04383859783411026,-0.25093867094255984,0.2
84.9,634880,310,0.9109027500000001,20030,31,0.5874972641468048,0.000259251,-0.022714653236713882,0.15022786458333334,0.0008871972234677136,927,0.11405055,-0.018022533506155014,-0.2673675771802664,0.2
85.52,636928,311,0.9025091,20098,31,0.6278706789016724,0.000259251,-0.02550118407816626,0.134765625,0.000748763727642654,930,0.09598711,-0.04127177596092224,-0.25871950046469766,0.2
85.03,638976,312,0.9113131999999999,20166,31,0.7198726236820221,0.000259251,-0.030053896868291,0.16585286458333334,0.0007531125023281978,933,0.1087175,-0.04590543359518051,-0.3481826460920274,0.2
83.5,641024,313,0.90248815,20236,31,0.6950158774852753,0.000259251,-0.025478778921145324,0.12434895833333333,0.0006386844073252481,936,0.08593044,-0.04800835996866226,-0.21561789140105247,0.2
83.82,643072,314,0.9099420899999998,20299,31,0.66789710521698,0.000259251,-0.020712163367231067,0.13134765625,0.0007757014527669526,939,0.1717416,-0.023398350924253464,-0.2126493799344947,0.2
84.32,645120,315,0.9074184000000001,20366,31,0.671292245388031,0.000259251,-0.020720532163977623,0.13346354166666666,0.0007517912245020852,942,0.11368411,-0.04209373891353607,-0.22052215039730072,0.2
85.96,647168,316,0.9021742500000002,20436,31,0.6922334134578705,0.000259251,-0.025283565279096365,0.17415364583333334,0.0007039552525990681,945,0.10719286,-0.07441642135381699,-0.3361511053517461,0.2
89.66,649216,317,0.90481106,20499,31,0.7600469291210175,0.000259251,-0.02582639523704226,0.17447916666666666,0.0006144849133609872,948,0.082515426,-0.03306276351213455,-0.3590148768077294,0.2
94.24,651264,318,0.9026517199999999,20561,31,0.7728336304426193,0.000259251,-0.0355997314521422,0.18831380208333334,0.0007141589427798559,951,0.09292505,-0.04089904576539993,-0.45062898378819227,0.2
94.75,653312,319,0.8950763300000001,20623,31,0.7926484644412994,0.000259251,-0.039122139394748956,0.21647135416666666,0.0005910124470271209,954,0.10001005,-0.05662793293595314,-0.5409901325280467,0.2
100.11,655360,320,0.90056002,20685,31,0.6952346861362457,0.000259251,-0.03665334106578181,0.21110026041666666,0.0008874614786691382,957,0.10297544,-0.06128266081213951,-0.5785148680830995,0.2
98.93,657408,321,0.9060891499999998,20755,31,0.780741885304451,0.000259251,-0.03743751903918261,0.216796875,0.0006638126963783483,960,0.07992332,-0.07998659461736679,-0.4805198544636369,0.2
106.72,659456,322,0.89873364,20825,31,0.7387066185474396,0.000259251,-0.028225543074465047,0.14127604166666666,0.0007188338837901634,963,0.112514175,-0.03882052004337311,-0.3135049024907251,0.2
104.56,661504,323,0.90758233,20883,31,0.7686797380447388,0.000259251,-0.0345310295233503,0.22884114583333334,0.0006597466584328989,966,0.09565257,-0.06609798222780228,-0.6413560335834821,0.2
95.09,663552,324,0.9159012600000002,20945,31,0.6997945010662079,0.000259251,-0.026109471393283457,0.16650390625,0.0008560011080286737,969,0.09176526,-0.04946378618478775,-0.3365632784552872,0.2
93.16,665600,325,0.92196347,21008,31,0.7066349387168884,0.000259251,-0.022871272774258006,0.10481770833333333,0.0006764843456039671,972,0.08813583,-0.04114479571580887,-0.18249551276676357,0.2
85.58,667648,326,0.9227736799999999,21074,31,0.7403680682182312,0.000259251,-0.025449412845773622,0.11604817708333333,0.0005664887380589789,975,0.085881285,-0.05528018996119499,-0.19731742943016192,0.2
84.41,669696,327,0.9202354799999999,21143,31,0.7523245811462402,0.000259251,-0.0159110712314335,0.11311848958333333,0.0006160921190409377,978,0.10816944,-0.03114832006394863,-0.21315539092756808,0.2
87.24,671744,328,0.92743408,21206,31,0.7018330097198486,0.000259251,-0.02454927479266189,0.14143880208333334,0.0007143923891514229,981,0.07970631,-0.053590547293424606,-0.2981407968327403,0.2
86.9,673792,329,0.9212532800000001,21262,31,0.7100849449634552,0.000259251,-0.03250880819784167,0.15901692708333334,0.0007420951145225748,984,0.10841894,-0.051319669932127,-0.3402647197556992,0.2
85.79,675840,330,0.9286963,21331,31,0.6804785132408142,0.000259251,-0.014885058723545322,0.08170572916666667,0.0006447986150609116,987,0.05972556,-0.02316981926560402,-0.14198840083554387,0.2
84.34,677888,331,0.9291413900000001,21388,31,0.7642374932765961,0.000259251,-0.02671115839621052,0.12565104166666666,0.0005745701631288588,990,0.07599835,-0.051588039845228195,-0.28044473643725115,0.2
84.83,679936,332,0.9356242900000001,21463,31,0.789715126156807,0.000259251,-0.02558259540819563,0.12174479166666667,0.0005438993513659321,993,0.10359867,-0.07340394705533981,-0.23179180027606586,0.2
86.42,681984,333,0.9475743700000001,21522,31,0.716686874628067,0.000259251,-0.027690022844277944,0.15266927083333334,0.0006934323188640216,996,0.0906553,-0.05178837478160858,-0.3330349152286847,0.2
