time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/policy_gradient_loss
30,661504,120.8,323,0.56729266,21568,0.459094762802124,3220,-0.4242731435224414,0.2,0.0003,0.533056640625,1.9338676,-0.1269468516111374,0.003737904366789735,-0.08402891746663954
30,663552,117.61,324,0.5603785299999999,21632,0.6208763718605042,3230,-0.48870595432817937,0.2,0.0003,0.580615234375,1.3895435,-0.11275717616081238,0.002417658427657443,-0.08891699334344594
30,665600,114.86,325,0.542441,21697,0.525888979434967,3240,-0.478188759367913,0.2,0.0003,0.570068359375,1.5082554,-0.10073990374803543,0.0034229601151309907,-0.08717437600134872
30,667648,119.2,326,0.53826863,21755,0.45163989067077637,3250,-0.5350010532885789,0.2,0.0003,0.5853515625,1.3866248,-0.12214474380016327,0.0031979143805074273,-0.08558844699291512
30,669696,130.45,327,0.5664582300000002,21819,0.5806086361408234,3260,-0.6228000720962882,0.2,0.0003,0.622900390625,1.3748721,-0.1085016056895256,0.0021328505155906894,-0.0952346786565613
30,671744,143.05,328,0.59863557,21885,0.6621386706829071,3270,-0.5402068440802396,0.2,0.0003,0.59404296875,1.1974813,-0.14601649343967438,0.0022832610749901503,-0.09099255927430931
30,673792,152.41,329,0.61315424,21947,0.6928890347480774,3280,-0.644323305785656,0.2,0.0003,0.62236328125,1.5373515,-0.12695449590682983,0.002078248492398416,-0.0930234244093299
30,675840,160.63,330,0.62514848,22009,0.7286521792411804,3290,-0.6117910179309547,0.2,0.0003,0.619482421875,1.2974122,-0.13534614443778992,0.001880228526351857,-0.09182567708776332
30,677888,163.47,331,0.6171980999999999,22077,0.7306292951107025,3300,-0.5491195595823228,0.2,0.0003,0.5958984375,1.3732578,-0.10309851169586182,0.0020173075967250043,-0.09089995615067892
30,679936,172.34,332,0.6487911700000001,22138,0.7099321484565735,3310,-0.5686060920357704,0.2,0.0003,0.624169921875,1.4470115,-0.1295323222875595,0.002017061733567971,-0.09444214924587868
30,681984,175.72,333,0.6725039799999999,22207,0.7068977355957031,3320,-0.5245476129464806,0.2,0.0003,0.5931640625,1.5830929,-0.1282414197921753,0.002160721600193938,-0.09302577433991246
30,684032,181.66,334,0.69647931,22283,0.6820808351039886,3330,-0.41008224240504204,0.2,0.0003,0.524609375,1.5357314,-0.09316560626029968,0.002219938754933537,-0.08453555169398896
30,686080,180.67,335,0.6968357199999999,22343,0.6817637383937836,3340,-0.4187406305223703,0.2,0.0003,0.479443359375,1.3212897,-0.08668150752782822,0.0017737122529069894,-0.07054676804691554
30,688128,183.15,336,0.7110261200000001,22399,0.7784403264522552,3350,-0.4114005245734006,0.2,0.0003,0.551220703125,1.444957,-0.1033860594034195,0.0016483380982208473,-0.08747398537525441
