time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_range,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates
69,141312,4595,56.21,30,0.43753175,0.2,-0.027623925358057022,-0.011740703174533943,0.000259251,-0.59142198972404,0.07100612,0.43352216482162476,0.0010968953283736482,0.21875,204
70,143360,4679,57.1,30,0.46343399999999996,0.2,-0.020852936431765556,-0.018138345757809777,0.000259251,-0.5026662309343616,0.045775495,0.5311761796474457,0.000852247671597676,0.1884765625,207
71,145408,4754,61.72,30,0.52205838,0.2,-0.04438336193561554,-0.011445919459220022,0.000259251,-0.43921507957081,0.080377504,0.5508061647415161,0.0008005737824229678,0.17301432291666666,210
72,147456,4843,62.37,30,0.54178436,0.2,-0.042263615876436234,-0.01571738440543413,0.000259251,-0.4317913241684437,0.02958672,0.5339350998401642,0.0010034456099674571,0.15169270833333334,213
73,149504,4913,64.16,30,0.55828733,0.2,-0.024010170251131058,-0.016366638514834147,0.000259251,-0.358780886977911,0.035827287,0.6344045996665955,0.000724957181167459,0.14453125,216
74,151552,4984,67.58,30,0.57234151,0.2,-0.02127322554588318,-0.014533452524725968,0.000259251,-0.3925074217841029,0.044024684,0.45044398307800293,0.00103529021362192,0.16064453125,219
75,153600,5050,72.6,30,0.61118357,0.2,-0.03578267991542816,-0.019441173324594274,0.000259251,-0.4179674154147506,0.05421375,0.5060526132583618,0.0008928914788460437,0.17122395833333334,222
76,155648,5118,73.5,30,0.6167765900000001,0.2,-0.046345897018909454,-0.014670498455719402,0.000259251,-0.377998349412034,0.040215768,0.6115692555904388,0.000883852165012892,0.14046223958333334,225
77,157696,5186,77.22,30,0.65051493,0.2,0.013445478864014149,-0.008886041381629184,0.000259251,-0.3461463876689474,0.04926142,0.5999704897403717,0.0008265294794303676,0.12141927083333333,228
78,159744,5257,74.15,30,0.6443178599999999,0.2,-0.04782997816801071,-0.014743435245084887,0.000259251,-0.3246069534992178,0.03396231,0.5668196976184845,0.0007778351082379231,0.14322916666666666,231
79,161792,5328,71.66,30,0.62721583,0.2,-0.02481144294142723,-0.012042540649417788,0.000259251,-0.3158838408999145,0.0424211,0.6095777451992035,0.0007470498594557284,0.13997395833333334,234
80,163840,5405,71.38,30,0.61640524,0.2,-0.03508557751774788,-0.015829909321231145,0.000259251,-0.3238984347941975,0.0720482,0.12968552112579346,0.001048060824359709,0.15071614583333334,237
81,165888,5470,71.61,30,0.62056941,0.2,-0.01995925046503544,-0.015051876738046607,0.000259251,-0.38782479241490364,0.046669133,0.4735664129257202,0.0009341142989190606,0.14908854166666666,240
82,167936,5539,72.33,30,0.62361928,0.2,-0.029615141451358795,-0.009870647598290816,0.000259251,-0.35942433634772897,0.037759885,0.48376405239105225,0.0010159005444923725,0.1494140625,243
83,169984,5608,74.96,30,0.6503059800000002,0.2,-0.061309248208999634,-0.016881199699128047,0.000259251,-0.3441974385641515,0.041050926,0.6212522983551025,0.0006811739795011817,0.12646484375,246
84,172032,5670,78.41,30,0.6707238899999999,0.2,-0.05259048566222191,-0.01593751697995079,0.000259251,-0.37058172080044943,0.046134535,0.5898381173610687,0.0007742562050528553,0.14567057291666666,249
85,174080,5734,83.85,30,0.67316005,0.2,-0.027285192161798477,-0.015083033116146302,0.000259251,-0.41206840456773836,0.03998342,0.5835597515106201,0.0007133557640675766,0.18212890625,252
86,176128,5808,90.0,30,0.69712479,0.2,-0.04556862637400627,-0.017847669815334182,0.000259251,-0.5261194876705607,0.042195626,0.6346143782138824,0.0007964892256495659,0.18098958333333334,255
87,178176,5877,83.02,30,0.6338414299999999,0.2,-0.013281174935400486,-0.019618097847948473,0.000259251,-0.47796101371447247,0.04740125,0.593246579170227,0.0010331270793055107,0.17057291666666666,258
88,180224,5937,79.7,30,0.62098369,0.2,-0.03597846254706383,-0.016906501647705834,0.000259251,-0.3459309972822666,0.048333894,0.5001534521579742,0.0009312472854314061,0.15071614583333334,261
89,182272,6007,66.59,30,0.58198978,0.2,-0.02713458612561226,-0.013417803565971553,0.000259251,-0.38699345104396343,0.03828338,0.5762092173099518,0.000847775818935285,0.14453125,264
90,184320,6075,70.65,30,0.61066541,0.2,-0.0522942841053009,-0.01852980909946685,0.000259251,-0.3719182685017586,0.04823696,0.5544118583202362,0.0008819843624223722,0.16748046875,267
91,186368,6137,76.04,30,0.61748074,0.2,-0.06427385658025742,-0.017117351506991934,0.000259251,-0.4169005397707224,0.041359697,0.5941257178783417,0.0007788524932645183,0.18147786458333334,270
92,188416,6200,77.12,30,0.62502857,0.2,-0.04848480224609375,-0.02381428045919165,0.000259251,-0.5385312171032032,0.062140506,0.6352540850639343,0.00070359835929897,0.23111979166666666,273
