time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
69,204306,2920,0.05,140.52,3640,0.59909276,6.986239168327302e-05,0.0001,38576
69,207003,2964,0.05,147.28,3660,0.60941746,2.6759713364299387e-05,0.0001,39250
69,210073,3013,0.05,150.97,3680,0.6291876799999999,3.5351029509911314e-05,0.0001,40018
69,213356,3069,0.05,152.28,3700,0.6535113300000001,0.00019058812176808715,0.0001,40838
69,216239,3117,0.05,149.74,3720,0.66373712,2.8263613785384223e-05,0.0001,41559
69,219369,3171,0.05,150.63,3740,0.67118168,4.887210525339469e-05,0.0001,42342
68,221609,3215,0.05,146.06,3760,0.6705478899999998,8.651320968056098e-05,0.0001,42902
68,225276,3279,0.05,152.03,3780,0.6971035499999999,6.799925904488191e-05,0.0001,43818
68,228522,3332,0.05,151.66,3800,0.6858217800000002,3.124559225398116e-05,0.0001,44630
68,232646,3400,0.05,164.07,3820,0.6969772500000001,0.00010994789772666991,0.0001,45661
68,236238,3459,0.05,168.69,3840,0.69989689,0.00010007190576288849,0.0001,46559
67,240327,3541,0.05,187.18,3860,0.7322597300000001,4.5179669541539624e-05,0.0001,47581
67,243857,3618,0.05,185.81,3880,0.7089691300000002,2.885807043639943e-05,0.0001,48464
66,247347,3696,0.05,188.25,3900,0.7234750700000001,8.477678056806326e-05,0.0001,49336
66,251061,3772,0.05,184.15,3920,0.70266689,9.084617340704426e-05,0.0001,50265
66,254850,3843,0.05,186.12,3940,0.6857905199999997,3.521082908264361e-05,0.0001,51212
66,258989,3923,0.05,186.62,3960,0.67950015,4.881976201431826e-05,0.0001,52247
65,262774,4004,0.05,189.17,3980,0.65726626,3.9530576032120734e-05,0.0001,53193
65,266285,4085,0.05,189.38,4000,0.6370119900000001,4.485921817831695e-05,0.0001,54071
64,270246,4162,0.05,191.85,4020,0.63626741,0.00010780167940538377,0.0001,55061
64,273963,4222,0.05,191.13,4040,0.6444529399999999,3.595280577428639e-05,0.0001,55990
64,277166,4278,0.05,181.77,4060,0.62575517,0.0001142488035839051,0.0001,56791
64,281490,4349,0.05,187.16,4080,0.6259085299999999,9.712466999189928e-05,0.0001,57872
64,285471,4417,0.05,191.86,4100,0.61451048,8.318133768625557e-05,0.0001,58867
64,289135,4478,0.05,188.89,4120,0.60133246,2.2302121578832157e-05,0.0001,59783
64,291391,4514,0.05,174.28,4140,0.56020988,3.2812360586831346e-05,0.0001,60347
64,294782,4564,0.05,176.16,4160,0.5682411399999999,4.6987959649413824e-05,0.0001,61195
64,297803,4611,0.05,163.13,4180,0.58261774,0.0007919585914351046,0.0001,61950
64,302056,4688,0.05,165.85,4200,0.6066946599999999,0.0001419925974914804,0.0001,63013
64,305447,4750,0.05,163.12,4220,0.5947128700000001,6.0500300605781376e-05,0.0001,63861
64,307926,4792,0.05,165.35,4240,0.5778907700000001,5.6988323194673285e-05,0.0001,64481
64,311413,4852,0.05,166.31,4260,0.56880523,0.00010389935778221115,0.0001,65353
64,315280,4915,0.05,174.77,4280,0.56042789,7.667626778129488e-05,0.0001,66319
64,319217,4981,0.05,171.61,4300,0.54614437,3.552647467586212e-05,0.0001,67304
64,322365,5036,0.05,169.18,4320,0.54933831,7.794547127559781e-05,0.0001,68091
63,325716,5092,0.05,177.9,4340,0.58342298,8.104900916805491e-05,0.0001,68928
63,329730,5163,0.05,183.17,4360,0.59136048,3.853493763017468e-05,0.0001,69932
63,333513,5233,0.05,182.33,4380,0.5715054700000001,7.417865708703175e-05,0.0001,70878
63,338054,5317,0.05,188.37,4400,0.57306661,0.00017643319733906537,0.0001,72013
63,341579,5385,0.05,192.14,4420,0.5767416200000001,7.54060602048412e-05,0.0001,72894
63,344893,5444,0.05,191.77,4440,0.5778046099999999,4.914393866783939e-05,0.0001,73723
63,348271,5501,0.05,185.41,4460,0.5654414100000001,2.552893420215696e-05,0.0001,74567
63,351933,5563,0.05,184.2,4480,0.5696633700000001,2.9951972464914434e-05,0.0001,75483
63,355710,5627,0.05,176.56,4500,0.5553784500000001,6.657704943791032e-05,0.0001,76427
63,359389,5701,0.05,178.1,4520,0.5791819399999999,0.0004073364834766835,0.0001,77347
62,362920,5776,0.05,180.27,4540,0.6061906499999999,4.505123069975525e-05,0.0001,78229
62,366421,5836,0.05,181.5,4560,0.61728367,0.00010647306044120342,0.0001,79105
62,369512,5905,0.05,175.79,4580,0.63051544,2.674925053725019e-05,0.0001,79877
62,372717,5965,0.05,170.07,4600,0.6478537700000001,3.3422988053644076e-05,0.0001,80679
62,375720,6012,0.05,163.31,4620,0.63274716,4.384508793009445e-05,0.0001,81429
62,378769,6064,0.05,158.49,4640,0.6265773199999999,5.068354948889464e-05,0.0001,82192
62,382165,6123,0.05,157.44,4660,0.64237364,3.67871398339048e-05,0.0001,83041
62,385010,6175,0.05,154.98,4680,0.6374724300000001,5.0996044592466205e-05,0.0001,83752
62,388385,6236,0.05,156.68,4700,0.6333620000000001,2.2522142899106257e-05,0.0001,84596
62,391130,6280,0.05,154.1,4720,0.62599095,4.34084577136673e-05,0.0001,85282
62,394300,6330,0.05,155.31,4740,0.61210144,9.173885337077081e-05,0.0001,86074
62,397673,6388,0.05,155.08,4760,0.6166531,5.207693902775645e-05,0.0001,86918
62,401077,6458,0.05,160.67,4780,0.62507916,0.00017896591452881694,0.0001,87769
61,404822,6544,0.05,164.37,4800,0.6149450000000001,3.69446788681671e-05,0.0001,88705
61,409023,6613,0.05,178.93,4820,0.6491411699999999,0.0003681239322759211,0.0001,89755
61,412396,6675,0.05,180.96,4840,0.65197493,4.274894672562368e-05,0.0001,90598
61,415785,6743,0.05,181.12,4860,0.6455885000000001,0.00047509896103292704,0.0001,91446
61,420005,6828,0.05,189.28,4880,0.66284198,0.00017291128460783511,0.0001,92501
61,423015,6892,0.05,181.93,4900,0.6867984399999999,4.583405461744405e-05,0.0001,93253
61,425520,6946,0.05,164.97,4920,0.6570818700000001,0.0001521714439149946,0.0001,93879
61,429695,7026,0.05,172.99,4940,0.6833610300000003,5.114093073643744e-05,0.0001,94923
61,432897,7081,0.05,171.12,4960,0.69953121,5.532948853215203e-05,0.0001,95724
61,435037,7117,0.05,150.32,4980,0.6773098800000001,0.00035274933907203376,0.0001,96259
61,437378,7161,0.05,143.63,5000,0.6581219300000001,5.341514406609349e-05,0.0001,96844
61,440677,7215,0.05,151.57,5020,0.6849581699999997,7.073317829053849e-05,0.0001,97669
61,443535,7260,0.05,138.4,5040,0.6798402100000002,7.278510747710243e-05,0.0001,98383
61,446407,7309,0.05,135.1,5060,0.6704862500000001,9.736337960930541e-05,0.0001,99101
61,449127,7353,0.05,140.9,5080,0.6766080200000001,9.0872919827234e-05,0.0001,99781
61,451711,7395,0.05,143.33,5100,0.68182581,0.00016739434795454144,0.0001,100427
61,454778,7447,0.05,141.01,5120,0.6906170699999999,0.00010241234122077003,0.0001,101194
61,458104,7502,0.05,145.69,5140,0.6930739499999998,9.154875442618504e-05,0.0001,102025
61,461616,7558,0.05,152.09,5160,0.70607647,5.7723977079149336e-05,0.0001,102903
61,465487,7621,0.05,163.6,5180,0.7244492900000001,9.585467341821641e-05,0.0001,103871
61,468115,7663,0.05,164.04,5200,0.7406017899999999,0.000314177421387285,0.0001,104528
61,471624,7722,0.05,168.46,5220,0.7550520600000001,8.955979137681425e-05,0.0001,105405
61,474296,7769,0.05,161.92,5240,0.74838838,0.0001028190745273605,0.0001,106073
61,476769,7812,0.05,151.53,5260,0.73794934,0.00012719146616291255,0.0001,106692
61,479713,7861,0.05,142.26,5280,0.7395924700000001,3.29471004079096e-05,0.0001,107428
60,482340,7909,0.05,142.25,5300,0.7383640200000002,8.84512992342934e-05,0.0001,108084
60,485290,7966,0.05,136.66,5320,0.73356661,9.017527190735564e-05,0.0001,108822
60,488237,8016,0.05,139.41,5340,0.71406454,3.799251499003731e-05,0.0001,109559
60,490977,8063,0.05,142.08,5360,0.70341615,9.61850382736884e-05,0.0001,110244
60,493299,8099,0.05,135.86,5380,0.67163653,4.928043199470267e-05,0.0001,110824
60,496249,8148,0.05,139.09,5400,0.6658052200000002,7.111502782208845e-05,0.0001,111562
60,499690,8204,0.05,144.0,5420,0.65557814,7.896369061199948e-05,0.0001,112422
60,502163,8245,0.05,139.26,5440,0.68796729,7.805816130712628e-05,0.0001,113040
60,505196,8304,0.05,142.19,5460,0.7201426500000001,4.191477637505159e-05,0.0001,113798
60,508123,8357,0.05,148.24,5480,0.7513318800000001,0.0002576332481112331,0.0001,114530
60,510880,8406,0.05,146.31,5500,0.7527305099999999,0.00011323204671498388,0.0001,115219
60,513531,8453,0.05,138.41,5520,0.7422672300000001,0.00017248702351935208,0.0001,115882
60,516570,8512,0.05,144.07,5540,0.72639921,6.072006362956017e-05,0.0001,116642
60,518939,8559,0.05,137.43,5560,0.6817829699999999,7.54773645894602e-05,0.0001,117234
60,521570,8612,0.05,134.47,5580,0.6462799800000001,6.95448397891596e-05,0.0001,117892
60,524503,8676,0.05,136.23,5600,0.6752047100000002,5.170929944142699e-05,0.0001,118625
60,527499,8743,0.05,139.68,5620,0.6706843199999999,8.501051343046129e-05,0.0001,119374
60,531128,8819,0.05,145.58,5640,0.6965014999999998,0.0001272661902476102,0.0001,120281
60,534318,8880,0.05,153.79,5660,0.7365565299999999,0.00021503795869648457,0.0001,121079
60,538174,8950,0.05,166.04,5680,0.7868461000000001,5.5357297242153436e-05,0.0001,122043
60,541608,9014,0.05,171.05,5700,0.7823103699999998,0.0002800587099045515,0.0001,122901
60,544894,9075,0.05,173.95,5720,0.7886509100000001,0.00010107108391821384,0.0001,123723
60,547847,9125,0.05,167.19,5740,0.7497754900000001,7.047978579066694e-05,0.0001,124461
60,551134,9181,0.05,168.16,5760,0.7251994400000001,0.00012900965521112084,0.0001,125283
60,554342,9237,0.05,161.68,5780,0.6967549099999999,0.0001536167983431369,0.0001,126085
59,558191,9312,0.05,165.83,5800,0.67997292,7.232357165776193e-05,0.0001,127047
59,561367,9374,0.05,164.73,5820,0.6930249,8.079779945546761e-05,0.0001,127841
59,565008,9445,0.05,171.61,5840,0.7095771200000002,7.808332884451374e-05,0.0001,128751
59,568495,9524,0.05,173.61,5860,0.70752199,0.0001819317985791713,0.0001,129623
59,572158,9606,0.05,178.16,5880,0.6854818699999998,7.906247628852725e-05,0.0001,130539
59,576306,9687,0.05,181.15,5900,0.6715598299999997,8.32285950309597e-05,0.0001,131576
59,579218,9742,0.05,178.51,5920,0.6186522400000001,7.020853809081018e-05,0.0001,132304
59,582879,9814,0.05,178.71,5940,0.62359274,5.7835022744257e-05,0.0001,133219
59,585964,9874,0.05,174.69,5960,0.63052907,6.617118197027594e-05,0.0001,133990
59,588794,9925,0.05,166.36,5980,0.62595702,5.723008143831976e-05,0.0001,134698
59,591494,9975,0.05,151.88,6000,0.59662708,5.8484925830271095e-05,0.0001,135373
59,594713,10037,0.05,154.95,6020,0.62717915,0.00031442681211046875,0.0001,136178
59,598519,10109,0.05,156.4,6040,0.62559471,7.010607077972963e-05,0.0001,137129
59,601917,10177,0.05,159.53,6060,0.60956577,0.00019297440303489566,0.0001,137979
59,605653,10254,0.05,168.59,6080,0.6364938600000001,5.326127211446874e-05,0.0001,138913
59,608832,10316,0.05,173.38,6100,0.65353981,4.598683153744787e-05,0.0001,139707
58,612476,10387,0.05,177.63,6120,0.64609971,8.3991872088518e-05,0.0001,140618
58,617756,10491,0.05,192.37,6140,0.66914256,2.9170956622692756e-05,0.0001,141938
58,621439,10572,0.05,195.22,6160,0.66148931,0.00016989698633551598,0.0001,142859
58,625631,10663,0.05,199.78,6180,0.6698744899999999,6.690502050332725e-05,0.0001,143907
58,628959,10731,0.05,201.27,6200,0.6651197800000002,0.0001945130352396518,0.0001,144739
58,633061,10816,0.05,205.85,6220,0.6756142499999999,6.554881110787392e-05,0.0001,145765
58,636468,10888,0.05,187.12,6240,0.6572392199999999,0.0004879155312664807,0.0001,146616
58,640218,10962,0.05,187.79,6260,0.6837603999999999,0.00010599198867566884,0.0001,147554
58,643839,11035,0.05,182.08,6280,0.6871992599999999,0.00017327630484942347,0.0001,148459
58,646903,11097,0.05,179.44,6300,0.6994008599999999,0.0001614252687431872,0.0001,149225
