time/fps,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
44,0.17014944000000004,0.05,4800,3560,37.55,158962,2.4127932738338133e-05,1.9070714918537712e-05,10630
44,0.1669008,0.05,4820,3587,38.69,159852,3.463574348643306e-05,1.9070714918537712e-05,10700
44,0.17330168,0.05,4840,3620,43.99,160990,1.7636712846069714e-05,1.9070714918537712e-05,10770
44,0.17460878000000002,0.05,4860,3641,43.55,161628,2.0101395284655156e-05,1.9070714918537712e-05,10830
44,0.17110066,0.05,4880,3659,38.75,162118,4.327589558670297e-05,1.9070714918537712e-05,10900
44,0.17096103999999998,0.05,4900,3679,38.27,162789,2.442824661557097e-05,1.9070714918537712e-05,10970
44,0.16406087999999996,0.05,4920,3698,34.22,163274,3.104162083218398e-05,1.9070714918537712e-05,11030
44,0.16094452,0.05,4940,3723,29.92,163982,3.429320659051882e-05,1.9070714918537712e-05,11100
43,0.16006315999999998,0.05,4960,3744,30.32,164660,4.1191843138221884e-05,1.9070714918537712e-05,11170
43,0.16212027000000004,0.05,4980,3767,33.3,165448,2.79643693829712e-05,1.9070714918537712e-05,11230
43,0.16041545000000001,0.05,5000,3793,34.48,166237,1.8160493073082763e-05,1.9070714918537712e-05,11300
43,0.16731317,0.05,5020,3814,35.77,166851,4.230726990499534e-05,1.9070714918537712e-05,11370
43,0.16461756000000002,0.05,5040,3834,35.29,167511,4.3509137867658865e-05,1.9070714918537712e-05,11430
43,0.15948518999999997,0.05,5060,3853,33.54,168014,4.4986345801589775e-05,1.9070714918537712e-05,11500
43,0.15005865000000002,0.05,5080,3868,30.21,168469,3.684221410367172e-05,1.9070714918537712e-05,11570
43,0.14925548000000002,0.05,5100,3886,28.06,169043,4.145479292674281e-05,1.9070714918537712e-05,11630
43,0.15439149000000002,0.05,5120,3913,30.17,169868,5.022649056627415e-05,1.9070714918537712e-05,11700
43,0.15784344,0.05,5140,3941,32.2,170731,3.240050114072801e-05,1.9070714918537712e-05,11770
43,0.16565405000000002,0.05,5160,3966,35.78,171592,3.511444556352217e-05,1.9070714918537712e-05,11830
43,0.18755257000000003,0.05,5180,3994,41.38,172607,2.264195504722011e-05,1.9070714918537712e-05,11900
43,0.18486580999999996,0.05,5200,4016,41.17,173160,4.121104989280866e-05,1.9070714918537712e-05,11970
43,0.17851456,0.05,5220,4033,38.53,173721,3.624929599936877e-05,1.9070714918537712e-05,12030
42,0.17531889,0.05,5240,4055,36.1,174341,3.2208559514401716e-05,1.9070714918537712e-05,12100
42,0.16742217,0.05,5260,4073,32.3,174822,2.227730446975329e-05,1.9070714918537712e-05,12170
42,0.1646553,0.05,5280,4102,32.21,175828,3.169824331052951e-05,1.9070714918537712e-05,12230
42,0.16472443000000003,0.05,5300,4127,33.98,176558,3.684686953420169e-05,1.9070714918537712e-05,12300
42,0.16272623000000003,0.05,5320,4146,33.83,177104,3.8974405651970304e-05,1.9070714918537712e-05,12370
42,0.15799598,0.05,5340,4164,33.63,177704,1.7832848425314295e-05,1.9070714918537712e-05,12430
42,0.17057941,0.05,5360,4187,36.65,178487,3.1698197653895475e-05,1.9070714918537712e-05,12500
42,0.16725974999999996,0.05,5380,4209,34.17,179245,2.913773187174229e-05,1.9070714918537712e-05,12570
42,0.16959470000000004,0.05,5400,4227,32.73,179831,5.9264510764478476e-05,1.9070714918537712e-05,12630
42,0.17235478999999998,0.05,5420,4254,36.22,180726,3.6772957901121114e-05,1.9070714918537712e-05,12700
42,0.18218028999999997,0.05,5440,4285,41.82,181886,1.1276229361101287e-05,1.9070714918537712e-05,12770
42,0.17677402,0.05,5460,4304,39.58,182445,3.9236160046129956e-05,1.9070714918537712e-05,12830
42,0.17355809,0.05,5480,4333,41.24,183369,2.186659085054998e-05,1.9070714918537712e-05,12900
42,0.16682994,0.05,5500,4352,41.05,183936,2.239038258267101e-05,1.9070714918537712e-05,12970
42,0.15849343,0.05,5520,4369,36.72,184398,3.946794904550188e-05,1.9070714918537712e-05,13030
42,0.14932624,0.05,5540,4391,31.87,185073,3.2419017952634024e-05,1.9070714918537712e-05,13100
42,0.14367718999999998,0.05,5560,4411,31.49,185594,3.2843864028109236e-05,1.9070714918537712e-05,13170
42,0.13593275,0.05,5580,4434,28.93,186262,2.7968272797807002e-05,1.9070714918537712e-05,13230
41,0.14146156,0.05,5600,4463,32.49,187185,3.757371123356279e-05,1.9070714918537712e-05,13300
41,0.14932207000000003,0.05,5620,4483,34.25,187823,2.4675940403540152e-05,1.9070714918537712e-05,13370
41,0.14962789,0.05,5640,4506,34.5,188523,2.906663703470258e-05,1.9070714918537712e-05,13430
41,0.15145932,0.05,5660,4524,34.29,189023,1.2677170252572978e-05,1.9070714918537712e-05,13500
