rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/n_updates,train/learning_rate
45.63,81306,0.22759300000000027,2380,0.10366774000000001,594,136,0.00012129160313634202,7826,0.0001
46.03,82187,0.2192234999999999,2400,0.10447929000000002,609,134,4.201637057121843e-05,8046,0.0001
40.44,82776,0.21362800000000037,2420,0.10211314999999999,619,133,8.350567077286541e-05,8193,0.0001
39.82,83571,0.2060754999999994,2440,0.10848557999999998,636,131,2.8880052923341282e-05,8392,0.0001
40.49,84764,0.19474199999999953,2460,0.11147758000000002,655,129,7.952138548716903e-05,8690,0.0001
44.37,85743,0.18544149999999993,2480,0.11424386,671,127,2.7887090254807845e-05,8935,0.0001
42.71,86458,0.17864899999999972,2500,0.11231327,682,126,5.3454692533705384e-05,9114,0.0001
49.43,87719,0.16666950000000014,2520,0.11661943999999998,708,123,2.2405820345738903e-05,9429,0.0001
50.8,88651,0.15781549999999978,2540,0.11256331,731,121,8.316636376548558e-05,9662,0.0001
53.36,90100,0.14405000000000046,2560,0.12027485,765,117,5.636923378915526e-05,10024,0.0001
51.3,90873,0.13670650000000018,2580,0.12188925999999999,785,115,2.9613711376441643e-05,10218,0.0001
64.26,92884,0.11760200000000043,2600,0.13768483,827,112,4.426601662999019e-05,10720,0.0001
71.22,94841,0.09901050000000045,2620,0.14610679,871,108,4.8133821110241115e-05,11210,0.0001
76.14,96265,0.08548249999999968,2640,0.15939091,906,106,2.4731109078857116e-05,11566,0.0001
84.07,98507,0.06418350000000006,2660,0.17715325999999998,957,102,1.5240590073517524e-05,12126,0.0001
94.55,100328,0.05,2680,0.19601548000000002,997,100,3.633925734902732e-05,12581,0.0001
109.7,103854,0.05,2700,0.22116623000000002,1070,97,1.7519463654025458e-05,13463,0.0001
120.08,106849,0.05,2720,0.24575509000000004,1127,94,1.447241083951667e-05,14212,0.0001
132.62,109527,0.05,2740,0.2693362,1176,93,1.6175170458154753e-05,14881,0.0001
140.0,112507,0.05,2760,0.29089969000000004,1231,91,1.3192355254432186e-05,15626,0.0001
149.7,115298,0.05,2780,0.32381622,1283,89,2.4832741473801434e-05,16324,0.0001
149.75,118829,0.05,2800,0.36805095,1352,87,1.1259518942097202e-05,17207,0.0001
154.97,122346,0.05,2820,0.40230298,1423,85,1.653568324400112e-05,18086,0.0001
163.92,125919,0.05,2840,0.45369993999999997,1493,84,1.1821492080343887e-05,18979,0.0001
161.8,128687,0.05,2860,0.47314308,1558,82,2.142130324500613e-05,19671,0.0001
172.34,132532,0.05,2880,0.5208270500000001,1632,81,2.8215183192514814e-05,20632,0.0001
164.9,135319,0.05,2900,0.50766936,1682,80,2.9259394068503752e-05,21329,0.0001
149.39,137285,0.05,2920,0.48571860999999994,1722,79,3.0905237508704886e-05,21821,0.0001
139.16,139835,0.05,2940,0.46356965999999994,1768,79,3.035016379726585e-05,22458,0.0001
136.12,142299,0.05,2960,0.46454107000000006,1817,78,5.320526543073356e-05,23074,0.0001
115.02,144034,0.05,2980,0.40598179,1852,77,0.00012040217552566901,23508,0.0001
107.46,146065,0.05,3000,0.3765110200000001,1894,77,7.875510345911607e-05,24016,0.0001
105.28,147813,0.05,3020,0.37456751,1929,76,3.5516073694452643e-05,24453,0.0001
107.86,150621,0.05,3040,0.3703815099999999,1979,76,0.0001474257733207196,25155,0.0001
113.54,153653,0.05,3060,0.38749261999999995,2032,75,4.684507439378649e-05,25913,0.0001
118.12,155846,0.05,3080,0.4125097900000001,2071,75,3.505774657242e-05,26461,0.0001
130.61,159126,0.05,3100,0.47767567000000005,2133,74,4.068650014232844e-05,27281,0.0001
135.46,161359,0.05,3120,0.50350984,2176,74,5.517854151548818e-05,27839,0.0001
138.98,164519,0.05,3140,0.5506029499999999,2234,73,4.249269841238856e-05,28629,0.0001
138.19,167472,0.05,3160,0.56161436,2289,73,7.51588013372384e-05,29367,0.0001
141.4,169986,0.05,3180,0.57992593,2337,72,4.3991938582621515e-05,29996,0.0001
130.74,172200,0.05,3200,0.5694619399999999,2379,72,2.307421891600825e-05,30549,0.0001
134.57,174816,0.05,3220,0.5795470199999999,2423,72,5.39817992830649e-05,31203,0.0001
130.98,177617,0.05,3240,0.56970849,2471,71,2.4107543140416965e-05,31904,0.0001
125.88,180060,0.05,3260,0.5519789700000001,2519,71,0.0002835177583619952,32514,0.0001
124.47,182433,0.05,3280,0.5699697499999999,2565,71,7.47576414141804e-05,33108,0.0001
130.3,185230,0.05,3300,0.5751972399999999,2610,70,2.0095107174711302e-05,33807,0.0001
124.86,187302,0.05,3320,0.5782051899999999,2645,70,3.7526042433455586e-05,34325,0.0001
120.38,189655,0.05,3340,0.58074696,2683,70,8.399984653806314e-05,34913,0.0001
120.78,192138,0.05,3360,0.5989976100000001,2725,70,0.00013961680815555155,35534,0.0001
127.92,195225,0.05,3380,0.60310355,2778,70,8.096028614090756e-05,36306,0.0001
133.16,198546,0.05,3400,0.60195302,2833,70,0.00011684815399348736,37136,0.0001
137.96,201098,0.05,3420,0.62036594,2877,69,5.757153849117458e-05,37774,0.0001
139.36,203591,0.05,3440,0.6067304600000001,2918,69,3.309540988993831e-05,38397,0.0001
139.25,206063,0.05,3460,0.5897822099999999,2957,69,2.3407425032928586e-05,39015,0.0001
135.82,208807,0.05,3480,0.5717826499999998,3004,69,2.6733410777524114e-05,39701,0.0001
129.11,211457,0.05,3500,0.5670912499999999,3050,69,0.0008622765308246017,40364,0.0001
136.52,214750,0.05,3520,0.56472278,3105,69,5.682311166310683e-05,41187,0.0001
140.0,217591,0.05,3540,0.58430639,3156,68,6.80668163113296e-05,41897,0.0001
147.7,220833,0.05,3560,0.63355126,3216,68,7.221128907985985e-05,42708,0.0001
151.4,223947,0.05,3580,0.66049867,3268,68,4.378938319860026e-05,43486,0.0001
146.29,226086,0.05,3600,0.64343361,3303,68,4.058416379848495e-05,44021,0.0001
139.7,228720,0.05,3620,0.65647155,3345,68,4.918292324873619e-05,44679,0.0001
135.99,231190,0.05,3640,0.6327107,3387,68,7.773749530315399e-05,45297,0.0001
129.16,233749,0.05,3660,0.60218956,3430,68,4.037121107103303e-05,45937,0.0001
123.65,236312,0.05,3680,0.56637859,3484,67,5.169915675651282e-05,46577,0.0001
132.39,239325,0.05,3700,0.5910446299999998,3543,67,7.31261825421825e-05,47331,0.0001
140.09,242729,0.05,3720,0.60247473,3629,66,0.0001564337289892137,48182,0.0001
143.96,245586,0.05,3740,0.62985959,3687,66,7.158827793318778e-05,48896,0.0001
147.65,248514,0.05,3760,0.65131797,3743,66,6.848130578873679e-05,49628,0.0001
152.55,251567,0.05,3780,0.6852392799999998,3801,66,7.643149001523852e-05,50391,0.0001
156.03,254928,0.05,3800,0.6787332200000001,3868,65,7.260333222802728e-05,51231,0.0001
156.22,258351,0.05,3820,0.6602154699999998,3936,65,9.130663238465786e-05,52087,0.0001
160.9,261676,0.05,3840,0.6567862299999999,4015,65,7.32697662897408e-05,52918,0.0001
160.45,264559,0.05,3860,0.6308527500000001,4075,64,4.1144325223285705e-05,53639,0.0001
166.79,268246,0.05,3880,0.6476518700000001,4137,64,0.00017081592523027211,54561,0.0001
172.1,272138,0.05,3900,0.6712574600000001,4204,64,6.684380059596151e-05,55534,0.0001
172.62,275613,0.05,3920,0.6807094699999999,4260,64,7.018104224698618e-05,56403,0.0001
173.37,279013,0.05,3940,0.6992913999999999,4318,64,6.525815115310252e-05,57253,0.0001
165.44,281103,0.05,3960,0.6833123999999999,4355,64,0.00012813034118153155,57775,0.0001
167.34,284980,0.05,3980,0.69268888,4420,64,0.0002710655389819294,58744,0.0001
160.08,288146,0.05,4000,0.6874311,4469,64,5.306187449605204e-05,59536,0.0001
144.98,290111,0.05,4020,0.6581364599999999,4499,64,9.816075180424377e-05,60027,0.0001
144.06,293419,0.05,4040,0.63150354,4549,64,4.038208135170862e-05,60854,0.0001
149.62,296065,0.05,4060,0.6368864900000001,4590,64,9.733122715260834e-05,61516,0.0001
142.86,299266,0.05,4080,0.5926597900000001,4652,64,5.195264020585455e-05,62316,0.0001
144.99,302645,0.05,4100,0.58033315,4711,64,0.00011814286699518561,63161,0.0001
155.46,305657,0.05,4120,0.60586296,4761,64,0.00019932890427298844,63914,0.0001
155.48,308967,0.05,4140,0.60617994,4817,64,5.864000922883861e-05,64741,0.0001
161.8,312245,0.05,4160,0.61144136,4871,64,5.7975066738436e-05,65561,0.0001
169.54,316220,0.05,4180,0.63312614,4938,64,6.327047594822943e-05,66554,0.0001
172.77,319922,0.05,4200,0.6464660499999999,5000,63,0.00017895748896989971,67480,0.0001
177.35,323392,0.05,4220,0.6532533600000001,5058,63,0.00028650835156440735,68347,0.0001
177.39,326706,0.05,4240,0.6699602799999999,5116,63,7.915829337434843e-05,69176,0.0001
178.92,330137,0.05,4260,0.69853073,5179,63,9.129411773756146e-05,70034,0.0001
169.21,333141,0.05,4280,0.6835017999999999,5233,63,4.4624681322602555e-05,70785,0.0001
167.15,336637,0.05,4300,0.6746279900000001,5301,63,7.655129593331367e-05,71659,0.0001
162.36,339628,0.05,4320,0.6597284500000002,5354,63,0.00020402252266649157,72406,0.0001
155.66,342272,0.05,4340,0.6440054299999999,5402,63,9.363012941321358e-05,73067,0.0001
158.92,346029,0.05,4360,0.66206159,5468,63,0.0003361353592481464,74007,0.0001
169.45,350086,0.05,4380,0.68027698,5536,63,7.893294241512194e-05,75021,0.0001
162.73,352910,0.05,4400,0.67445375,5586,63,4.3249892769381404e-05,75727,0.0001
159.9,355618,0.05,4420,0.6704275000000002,5640,63,7.824482599971816e-05,76404,0.0001
168.32,359104,0.05,4440,0.68943858,5716,62,3.979933535447344e-05,77275,0.0001
158.6,361889,0.05,4460,0.6669606899999999,5764,62,9.802318527363241e-05,77972,0.0001
144.01,364487,0.05,4480,0.65379061,5806,62,6.139178003650159e-05,78621,0.0001
145.29,367439,0.05,4500,0.6581613300000001,5876,62,7.71136546973139e-05,79359,0.0001
149.46,370564,0.05,4520,0.67300905,5930,62,8.964120934251696e-05,80140,0.0001
149.55,374059,0.05,4540,0.67669515,5989,62,0.000174586137291044,81014,0.0001
150.45,376934,0.05,4560,0.67110371,6041,62,4.385817373986356e-05,81733,0.0001
151.02,379589,0.05,4580,0.6788531199999999,6088,62,5.603721729130484e-05,82397,0.0001
147.67,382206,0.05,4600,0.69011455,6138,62,9.2366746685002e-05,83051,0.0001
149.72,385536,0.05,4620,0.6941802400000001,6194,62,5.8690900914371014e-05,83883,0.0001
146.79,388738,0.05,4640,0.6933513199999998,6245,62,7.540138176409528e-05,84684,0.0001
147.65,391699,0.05,4660,0.68884394,6294,62,9.884465544018894e-05,85424,0.0001
150.63,394652,0.05,4680,0.6990478100000002,6348,62,6.906116323079914e-05,86162,0.0001
154.28,397634,0.05,4700,0.6929717099999999,6406,62,0.00010443403152748942,86908,0.0001
144.49,399985,0.05,4720,0.6642876700000001,6466,61,4.091097798664123e-05,87496,0.0001
145.82,403320,0.05,4740,0.6673298,6528,61,4.597185761667788e-05,88329,0.0001
151.54,406853,0.05,4760,0.6876717900000001,6585,61,4.448044273885898e-05,89213,0.0001
157.98,410450,0.05,4780,0.6727165900000002,6658,61,7.255162199726328e-05,90112,0.0001
151.43,412777,0.05,4800,0.6505839200000001,6703,61,0.00010112434392794967,90694,0.0001
158.34,415819,0.05,4820,0.6673589000000003,6767,61,3.814119190792553e-05,91454,0.0001
147.69,418089,0.05,4840,0.6381479400000001,6814,61,0.000170335712027736,92022,0.0001
143.16,421169,0.05,4860,0.61957163,6877,61,8.119347330648452e-05,92792,0.0001
134.34,423884,0.05,4880,0.60884474,6932,61,0.00010342146561015397,93470,0.0001
137.78,426555,0.05,4900,0.62572382,6984,61,5.012671681470238e-05,94138,0.0001
133.71,429190,0.05,4920,0.61941478,7031,61,0.00012187966785859317,94797,0.0001
136.31,431720,0.05,4940,0.61354095,7076,61,0.00013165664859116077,95429,0.0001
130.86,434255,0.05,4960,0.59849994,7122,60,6.671678420389071e-05,96063,0.0001
137.83,437667,0.05,4980,0.6160747499999999,7179,60,0.00018000436830334365,96916,0.0001
134.71,440026,0.05,5000,0.58015869,7218,60,0.00013111163571011275,97506,0.0001
128.81,442071,0.05,5020,0.5734924699999999,7253,60,8.362434891751036e-05,98017,0.0001
129.0,444620,0.05,5040,0.5719030700000001,7295,60,4.7865891247056425e-05,98654,0.0001
129.11,447166,0.05,5060,0.58126381,7337,60,5.568291089730337e-05,99291,0.0001
112.76,448943,0.05,5080,0.5390051100000001,7366,60,0.00010783311154227704,99735,0.0001
118.59,451885,0.05,5100,0.579524,7416,60,0.0001603039272595197,100471,0.0001
127.04,454775,0.05,5120,0.6144556499999999,7463,60,0.00011097693641204387,101193,0.0001
129.63,457583,0.05,5140,0.6537388900000001,7508,60,0.00010195895447395742,101895,0.0001
137.5,460916,0.05,5160,0.6781921599999999,7563,60,8.754379814490676e-05,102728,0.0001
152.64,464207,0.05,5180,0.73427787,7614,60,0.0001360676542390138,103551,0.0001
146.31,466516,0.05,5200,0.7369790500000001,7652,60,8.81203668541275e-05,104128,0.0001
151.53,469928,0.05,5220,0.7270140099999999,7710,60,0.00013178374501876533,104981,0.0001
145.24,472107,0.05,5240,0.6951949199999998,7748,60,0.00010104308603331447,105526,0.0001
140.46,474962,0.05,5260,0.67834182,7798,60,0.0001234296796610579,106240,0.0001
134.55,477662,0.05,5280,0.6666475300000001,7846,60,5.7237102737417445e-05,106915,0.0001
141.25,480641,0.05,5300,0.67854222,7899,60,0.00012854269880335778,107660,0.0001
139.81,483909,0.05,5320,0.6770334400000002,7958,60,0.00012307477300055325,108477,0.0001
151.03,487210,0.05,5340,0.7127717800000001,8015,60,5.189761577639729e-05,109302,0.0001
155.53,490515,0.05,5360,0.7286676299999999,8070,60,5.709692050004378e-05,110128,0.0001
162.72,493934,0.05,5380,0.7415042900000001,8125,60,7.083654054440558e-05,110983,0.0001
166.23,497264,0.05,5400,0.7394875900000001,8180,60,6.537568697240204e-05,111815,0.0001
159.08,499817,0.05,5420,0.7264046899999999,8223,60,4.300146611058153e-05,112454,0.0001
149.6,502170,0.05,5440,0.7044661400000001,8272,60,0.00010383933840785176,113042,0.0001
142.13,504728,0.05,5460,0.7062200300000001,8317,60,0.00022038700990378857,113681,0.0001
