time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
8948,41,0.39891496000000004,70.85,372432,6760,0.05,6.697605558656506e-05,1.9070714918537712e-05,17240
8979,41,0.41895933,71.69,373752,6780,0.05,6.90656390361255e-05,1.9070714918537712e-05,17300
9023,41,0.4299765999999999,73.15,375573,6800,0.05,6.135303174232831e-05,1.9070714918537712e-05,17370
9054,41,0.4128778299999999,69.08,376679,6820,0.05,4.473577610042412e-05,1.9070714918537712e-05,17440
9087,41,0.40340515000000005,65.9,378033,6840,0.05,6.261748640099541e-05,1.9070714918537712e-05,17500
9129,41,0.4115502299999999,74.15,379847,6860,0.05,9.587438999005826e-05,1.9070714918537712e-05,17570
9173,41,0.4008011300000001,78.93,381645,6880,0.05,6.997456093813526e-05,1.9070714918537712e-05,17640
9216,41,0.40199714,77.07,383280,6900,0.05,9.815628545766231e-05,1.9070714918537712e-05,17700
9259,41,0.4125647900000001,82.52,384931,6920,0.05,7.423345650749979e-05,1.9070714918537712e-05,17770
9295,41,0.41307853,83.37,386370,6940,0.05,8.231395731854718e-05,1.9070714918537712e-05,17840
9339,41,0.4148116400000001,83.21,388168,6960,0.05,8.031145935092355e-05,1.9070714918537712e-05,17900
9387,41,0.43873028000000003,85.22,390167,6980,0.05,7.328828487516149e-05,1.9070714918537712e-05,17970
9422,41,0.41859714,82.63,391543,7000,0.05,7.525524943048367e-05,1.9070714918537712e-05,18040
9461,41,0.42842233999999996,81.16,393047,7020,0.05,6.672162762697554e-05,1.9070714918537712e-05,18100
9520,41,0.4593510500000001,94.71,395841,7040,0.05,5.875732713320758e-05,1.9070714918537712e-05,18170
9589,41,0.50821215,105.81,398749,7060,0.05,5.8661842376750426e-05,1.9070714918537712e-05,18240
9642,41,0.51596675,106.79,400846,7080,0.05,8.124577752823824e-05,1.9070714918537712e-05,18300
9680,41,0.52693069,109.96,402539,7100,0.05,8.857419379637577e-05,1.9070714918537712e-05,18370
9727,41,0.50262979,113.42,404389,7120,0.05,8.05533527454827e-05,1.9070714918537712e-05,18440
9776,41,0.46191382,106.39,406480,7140,0.05,4.4941247688257134e-05,1.9070714918537712e-05,18500
9829,41,0.4456483600000001,99.53,408702,7160,0.05,4.3497708247741684e-05,1.9070714918537712e-05,18570
9871,41,0.4092119999999999,96.31,410477,7180,0.05,7.563091057818382e-05,1.9070714918537712e-05,18640
9920,41,0.42861899999999997,100.33,412572,7200,0.05,4.567973483062815e-05,1.9070714918537712e-05,18700
9963,41,0.44646893000000004,98.81,414270,7220,0.05,6.785270234104246e-05,1.9070714918537712e-05,18770
10008,41,0.4761653900000001,98.05,416285,7240,0.05,6.25271377430181e-05,1.9070714918537712e-05,18840
10041,41,0.43385311000000004,88.64,417566,7260,0.05,6.514310771308374e-05,1.9070714918537712e-05,18900
10069,41,0.41757614000000004,81.38,418615,7280,0.05,5.962000250292476e-05,1.9070714918537712e-05,18970
10108,41,0.408342,75.75,420147,7300,0.05,0.00010866083471228194,1.9070714918537712e-05,19040
10152,41,0.40644235,76.59,421929,7320,0.05,6.660738872596995e-05,1.9070714918537712e-05,19100
10198,41,0.40140331,76.48,423933,7340,0.05,7.666832134418655e-05,1.9070714918537712e-05,19170
10226,41,0.40899755000000004,73.89,424955,7360,0.05,5.480319359776331e-05,1.9070714918537712e-05,19240
10279,41,0.45449726999999995,87.11,427326,7380,0.05,6.335012012641528e-05,1.9070714918537712e-05,19300
10313,41,0.46434285,86.3,428777,7400,0.05,6.58331599424855e-05,1.9070714918537712e-05,19370
10350,41,0.49613825999999994,83.66,430295,7420,0.05,0.00010848420024558436,1.9070714918537712e-05,19440
10388,41,0.49165417000000006,79.45,431878,7440,0.05,9.200920485454844e-05,1.9070714918537712e-05,19500
10418,41,0.5068314599999999,81.53,433108,7460,0.05,7.154416198318359e-05,1.9070714918537712e-05,19570
10451,41,0.47755916,71.23,434449,7480,0.05,8.230020539485849e-05,1.9070714918537712e-05,19640
10476,41,0.44120227999999995,67.1,435487,7500,0.05,4.690299319918267e-05,1.9070714918537712e-05,19700
10517,41,0.4059124499999999,69.05,437200,7520,0.05,5.805582886750926e-05,1.9070714918537712e-05,19770
10566,41,0.37853281999999994,73.81,439259,7540,0.05,5.534275051104487e-05,1.9070714918537712e-05,19840
10606,41,0.38492841999999994,77.61,440869,7560,0.05,8.903320340323262e-05,1.9070714918537712e-05,19900
10666,41,0.39314843000000005,90.38,443487,7580,0.05,5.291221186780604e-05,1.9070714918537712e-05,19970
10707,41,0.4074507799999999,96.85,445172,7600,0.05,9.543707692500902e-05,1.9070714918537712e-05,20040
10747,41,0.4118154499999999,97.16,446916,7620,0.05,6.368106733134482e-05,1.9070714918537712e-05,20100
10793,41,0.42440146,95.22,448781,7640,0.05,8.579943332733819e-05,1.9070714918537712e-05,20170
10824,41,0.39718792,90.05,449874,7660,0.05,5.950520753685851e-05,1.9070714918537712e-05,20240
10853,41,0.3774327699999999,74.1,450897,7680,0.05,6.973564168220037e-05,1.9070714918537712e-05,20300
10896,41,0.3767608,75.66,452738,7700,0.05,6.233475087356056e-05,1.9070714918537712e-05,20370
10941,41,0.3854416499999999,76.54,454570,7720,0.05,5.8399462250235953e-05,1.9070714918537712e-05,20440
10979,41,0.40334154999999994,73.98,456179,7740,0.05,6.205406789376866e-05,1.9070714918537712e-05,20500
11026,41,0.4625405,83.41,458215,7760,0.05,7.07702936779242e-05,1.9070714918537712e-05,20570
11062,41,0.46979879,86.97,459594,7780,0.05,5.955873912171228e-05,1.9070714918537712e-05,20640
11108,41,0.49033445999999997,88.21,461559,7800,0.05,6.846884170954581e-05,1.9070714918537712e-05,20700
11176,41,0.51409399,101.94,464764,7820,0.05,5.7520299014868216e-05,1.9070714918537712e-05,20770
11237,41,0.5258956300000001,115.58,467737,7840,0.05,6.15617467701668e-05,1.9070714918537712e-05,20840
11277,41,0.50014916,112.98,469513,7860,0.05,9.078103848878528e-05,1.9070714918537712e-05,20900
11344,41,0.53805722,128.21,472415,7880,0.05,7.429356774082407e-05,1.9070714918537712e-05,20970
11395,41,0.52026068,129.19,474478,7900,0.05,4.060288229084108e-05,1.9070714918537712e-05,21040
11432,41,0.50650419,114.31,476195,7920,0.05,5.528695864995825e-05,1.9070714918537712e-05,21100
11471,41,0.5099522700000001,101.43,477880,7940,0.05,5.762295877502766e-05,1.9070714918537712e-05,21170
11521,41,0.53093512,104.06,479919,7960,0.05,8.820613875286654e-05,1.9070714918537712e-05,21240
11565,41,0.50773536,94.79,481894,7980,0.05,4.688033859565621e-05,1.9070714918537712e-05,21300
11628,41,0.57544386,102.42,484720,8000,0.05,4.813729210582096e-05,1.9070714918537712e-05,21370
11684,41,0.58504742,109.23,487118,8020,0.05,4.951098944729893e-05,1.9070714918537712e-05,21440
11722,41,0.5509027,107.26,488606,8040,0.05,7.252314935612958e-05,1.9070714918537712e-05,21500
11762,41,0.51453904,102.82,490201,8060,0.05,7.967086976350402e-05,1.9070714918537712e-05,21570
11793,41,0.5149396599999999,95.95,491489,8080,0.05,5.388374474932789e-05,1.9070714918537712e-05,21640
11849,41,0.46916283999999997,92.59,493979,8100,0.05,8.475964223180199e-05,1.9070714918537712e-05,21700
11903,41,0.45261987000000004,91.97,496315,8120,0.05,5.993163977109361e-05,1.9070714918537712e-05,21770
11940,41,0.48723008000000007,91.89,497795,8140,0.05,0.0001090720445063198,1.9070714918537712e-05,21840
11975,41,0.5045905100000001,91.22,499323,8160,0.05,7.505868998123333e-05,1.9070714918537712e-05,21900
12016,41,0.5026462099999999,95.68,501057,8180,0.05,7.655038298253203e-05,1.9070714918537712e-05,21970
12056,41,0.5256839,87.17,502696,8200,0.05,0.00011578612156881718,1.9070714918537712e-05,22040
12099,41,0.5413442100000001,82.65,504580,8220,0.05,8.457431013084716e-05,1.9070714918537712e-05,22100
12144,41,0.535115,85.18,506313,8240,0.05,7.387604528048541e-05,1.9070714918537712e-05,22170
12184,41,0.55447974,87.86,508109,8260,0.05,9.224319910572376e-05,1.9070714918537712e-05,22240
12231,41,0.57557128,90.61,510118,8280,0.05,6.127659162302734e-05,1.9070714918537712e-05,22300
12275,41,0.56060132,93.58,512054,8300,0.05,5.571553874688107e-05,1.9070714918537712e-05,22370
12324,41,0.5820388200000001,95.49,514129,8320,0.05,9.700522023194935e-05,1.9070714918537712e-05,22440
12369,41,0.6190117100000001,97.82,516095,8340,0.05,5.947205900156405e-05,1.9070714918537712e-05,22500
12406,41,0.59804865,96.45,517754,8360,0.05,8.680627342982916e-05,1.9070714918537712e-05,22570
12456,41,0.6078981199999999,97.54,519872,8380,0.05,0.00010492879246157827,1.9070714918537712e-05,22640
12497,41,0.6008627599999999,97.31,521785,8400,0.05,0.00014027598172106082,1.9070714918537712e-05,22700
12530,41,0.5472250700000001,88.94,523023,8420,0.05,0.0001094532144634286,1.9070714918537712e-05,22770
12585,41,0.5270610499999999,94.33,525528,8440,0.05,8.44456058985088e-05,1.9070714918537712e-05,22840
12626,41,0.56699344,96.19,527373,8460,0.05,8.949122566264123e-05,1.9070714918537712e-05,22900
12682,41,0.57304755,100.97,529969,8480,0.05,6.937675789231434e-05,1.9070714918537712e-05,22970
12729,41,0.56023084,102.05,531990,8500,0.05,6.311188681138447e-05,1.9070714918537712e-05,23040
12771,41,0.60060291,107.83,533806,8520,0.05,0.00012391487834975123,1.9070714918537712e-05,23100
12819,41,0.60581316,104.16,535944,8540,0.05,8.132871771522332e-05,1.9070714918537712e-05,23170
12864,41,0.59751238,105.1,537883,8560,0.05,5.9984837935189714e-05,1.9070714918537712e-05,23240
12908,41,0.5443014600000001,99.02,539871,8580,0.05,8.58817726111738e-05,1.9070714918537712e-05,23300
12952,41,0.5563041700000001,97.16,541706,8600,0.05,7.325030692300061e-05,1.9070714918537712e-05,23370
12996,41,0.56199186,100.26,543832,8620,0.05,7.666652654734208e-05,1.9070714918537712e-05,23440
13029,41,0.53145809,92.89,545233,8640,0.05,6.296601568465122e-05,1.9070714918537712e-05,23500
13079,41,0.5261249299999999,93.7,547253,8660,0.05,7.682896557525964e-05,1.9070714918537712e-05,23570
13140,41,0.5530011400000001,101.15,549986,8680,0.05,8.511400192219298e-05,1.9070714918537712e-05,23640
13178,41,0.5616090899999999,99.77,551683,8700,0.05,7.572412741865264e-05,1.9070714918537712e-05,23700
13215,41,0.5264167099999999,93.19,553151,8720,0.05,8.224181601690361e-05,1.9070714918537712e-05,23770
13269,41,0.54743357,102.56,555489,8740,0.05,0.00010160325073229614,1.9070714918537712e-05,23840
13319,41,0.5448416899999999,104.87,557740,8760,0.05,7.224546498036943e-05,1.9070714918537712e-05,23900
13369,41,0.56649425,98.93,559879,8780,0.05,8.269484096672386e-05,1.9070714918537712e-05,23970
13425,41,0.59600101,106.74,562357,8800,0.05,8.124127671180759e-05,1.9070714918537712e-05,24040
13474,41,0.63854764,111.96,564347,8820,0.05,7.584139075333951e-05,1.9070714918537712e-05,24100
13514,41,0.6360643200000001,105.42,566031,8840,0.05,7.391769668174675e-05,1.9070714918537712e-05,24170
13569,41,0.6455465999999999,107.13,568453,8860,0.05,0.00012105631103622727,1.9070714918537712e-05,24240
13616,41,0.6294288900000001,106.05,570484,8880,0.05,6.568724493263289e-05,1.9070714918537712e-05,24300
13660,41,0.6151746499999999,99.56,572313,8900,0.05,9.796149279281963e-05,1.9070714918537712e-05,24370
13704,41,0.61342808,98.56,574203,8920,0.05,9.358714996778871e-05,1.9070714918537712e-05,24440
13745,41,0.62568584,100.38,576069,8940,0.05,7.450985176546965e-05,1.9070714918537712e-05,24500
13796,41,0.6115594200000001,98.7,578323,8960,0.05,5.443819372885628e-05,1.9070714918537712e-05,24570
13847,41,0.6524963600000001,98.44,580328,8980,0.05,6.315961018117377e-05,1.9070714918537712e-05,24640
13891,41,0.63337299,99.5,582263,9000,0.05,7.906528662715573e-05,1.9070714918537712e-05,24700
13933,41,0.62635975,99.75,584178,9020,0.05,8.118044715956784e-05,1.9070714918537712e-05,24770
13971,41,0.60523231,97.47,585816,9040,0.05,5.4881713367649354e-05,1.9070714918537712e-05,24840
14023,41,0.61496254,99.08,588231,9060,0.05,9.886494153761305e-05,1.9070714918537712e-05,24900
14071,41,0.56833645,101.72,590500,9080,0.05,0.0001534254866783158,1.9070714918537712e-05,24970
14120,41,0.5855983699999999,103.53,592616,9100,0.05,9.574736814101925e-05,1.9070714918537712e-05,25040
14162,41,0.5891217200000001,102.23,594401,9120,0.05,6.20670682110358e-05,1.9070714918537712e-05,25100
14229,41,0.5963438999999999,115.9,597406,9140,0.05,8.431666174146812e-05,1.9070714918537712e-05,25170
14279,41,0.5731597700000001,114.16,599647,9160,0.05,7.291825641004834e-05,1.9070714918537712e-05,25240
14331,42,0.5780074399999999,115.44,602044,9180,0.05,8.172118323273026e-05,1.9070714918537712e-05,25300
14378,42,0.56594493,114.03,604019,9200,0.05,7.58848949772073e-05,1.9070714918537712e-05,25370
14434,42,0.5722694300000001,120.05,606406,9220,0.05,6.881897916173329e-05,1.9070714918537712e-05,25440
14489,42,0.61253283,114.23,608829,9240,0.05,7.182207991718315e-05,1.9070714918537712e-05,25500
14529,42,0.6325370800000001,108.01,610448,9260,0.05,9.906842215059441e-05,1.9070714918537712e-05,25570
14584,42,0.64897677,109.39,612983,9280,0.05,4.9338123790221286e-05,1.9070714918537712e-05,25640
14632,42,0.65424695,109.36,614955,9300,0.05,5.187607675907202e-05,1.9070714918537712e-05,25700
14684,42,0.64314908,107.98,617204,9320,0.05,6.82927799061872e-05,1.9070714918537712e-05,25770
14725,42,0.6035267499999999,100.43,618872,9340,0.05,4.5358754141489045e-05,1.9070714918537712e-05,25840
14774,42,0.6266166999999999,104.35,620883,9360,0.05,8.909156331355916e-05,1.9070714918537712e-05,25900
14819,42,0.6376385200000001,99.25,622908,9380,0.05,0.0001240744662936777,1.9070714918537712e-05,25970
14861,42,0.62555797,97.8,624735,9400,0.05,8.196437156584579e-05,1.9070714918537712e-05,26040
14913,42,0.61064661,98.96,627100,9420,0.05,0.00014900620608386815,1.9070714918537712e-05,26100
14958,42,0.61849462,100.14,628886,9440,0.05,0.00011760903180402238,1.9070714918537712e-05,26170
15004,42,0.58327182,99.68,630851,9460,0.05,7.27661928976886e-05,1.9070714918537712e-05,26240
15059,42,0.5594340200000001,103.08,633216,9480,0.05,7.241747644002317e-05,1.9070714918537712e-05,26300
15100,42,0.57035453,103.24,635059,9500,0.05,9.38313842198113e-05,1.9070714918537712e-05,26370
15148,42,0.5888804100000001,99.9,637090,9520,0.05,0.0001231268553965492,1.9070714918537712e-05,26440
15206,42,0.63534635,109.01,639787,9540,0.05,7.714379025856034e-05,1.9070714918537712e-05,26500
15249,42,0.6396687799999999,106.85,641536,9560,0.05,0.00013007739016757114,1.9070714918537712e-05,26570
15308,42,0.68408252,108.8,644096,9580,0.05,0.00010836454057425727,1.9070714918537712e-05,26640
15355,42,0.67445127,111.67,646226,9600,0.05,8.406687456954386e-05,1.9070714918537712e-05,26700
15409,42,0.6809142800000001,114.51,648541,9620,0.05,8.50953418193967e-05,1.9070714918537712e-05,26770
15463,42,0.63132228,111.86,650973,9640,0.05,6.340027393889614e-05,1.9070714918537712e-05,26840
15521,42,0.6652065799999999,120.21,653557,9660,0.05,4.989480112271849e-05,1.9070714918537712e-05,26900
15566,42,0.67005695,114.79,655575,9680,0.05,0.00010606261603243183,1.9070714918537712e-05,26970
15623,42,0.70657632,118.51,658077,9700,0.05,0.000116501270167646,1.9070714918537712e-05,27040
15666,42,0.7086701499999998,113.87,659928,9720,0.05,9.382411190017592e-05,1.9070714918537712e-05,27100
15710,42,0.7391705000000001,108.93,661866,9740,0.05,0.00011366426406311803,1.9070714918537712e-05,27170
15761,42,0.72822093,105.72,664129,9760,0.05,8.672334861330455e-05,1.9070714918537712e-05,27240
15798,42,0.6894170899999998,101.44,665719,9780,0.05,7.484494417440147e-05,1.9070714918537712e-05,27300
15836,42,0.64801018,92.09,667286,9800,0.05,7.957499437907244e-05,1.9070714918537712e-05,27370
15881,42,0.65886721,93.08,669236,9820,0.05,6.609031279367628e-05,1.9070714918537712e-05,27440
15931,42,0.6784750100000001,96.11,671477,9840,0.05,0.00011096845992142335,1.9070714918537712e-05,27500
15993,42,0.66307852,102.37,674366,9860,0.05,6.62641467897629e-05,1.9070714918537712e-05,27570
16037,42,0.6478308600000001,105.64,676283,9880,0.05,0.0001143027644502581,1.9070714918537712e-05,27640
16087,42,0.6700306699999998,111.91,678477,9900,0.05,9.605849754734663e-05,1.9070714918537712e-05,27700
16130,42,0.6444870599999999,111.69,680405,9920,0.05,6.369039565470302e-05,1.9070714918537712e-05,27770
16171,42,0.59631216,106.59,682136,9940,0.05,6.982502854953054e-05,1.9070714918537712e-05,27840
16218,42,0.5613524500000001,99.63,684329,9960,0.05,7.92044145782711e-05,1.9070714918537712e-05,27900
