time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
151521,116.17,0.50142041,2005,75,3200,0.05,25380,0.0001,3.897439091815613e-05
153556,114.3,0.49862018999999996,2040,75,3220,0.05,25888,0.0001,7.282393198693171e-05
155155,106.57,0.4830544300000001,2069,74,3240,0.05,26288,0.0001,2.143438541679643e-05
157551,98.11,0.4828895000000001,2111,74,3260,0.05,26887,0.0001,1.70446619449649e-05
160320,103.46,0.50658085,2168,73,3280,0.05,27579,0.0001,2.2917052774573676e-05
162981,114.6,0.5521952200000001,2217,73,3300,0.05,28245,0.0001,3.772848504013382e-05
165130,115.74,0.5696494400000001,2258,73,3320,0.05,28782,0.0001,0.00013278520782478154
168157,130.02,0.60699358,2315,72,3340,0.05,29539,0.0001,5.844228871865198e-05
170309,127.58,0.60073458,2358,72,3360,0.05,30077,0.0001,5.000997771276161e-05
172524,122.04,0.6034654700000001,2399,71,3380,0.05,30630,0.0001,2.9091066608089022e-05
175291,123.1,0.61442454,2445,71,3400,0.05,31322,0.0001,0.0003997207386419177
177999,128.69,0.62662209,2495,71,3420,0.05,31999,0.0001,4.976411582902074e-05
180457,123.0,0.63843479,2542,70,3440,0.05,32614,0.0001,5.5823282309575006e-05
182758,124.49,0.65692531,2587,70,3460,0.05,33189,0.0001,6.310309981927276e-05
185449,129.25,0.66321215,2631,70,3480,0.05,33862,0.0001,9.057513670995831e-05
188074,127.83,0.6534571600000001,2674,70,3500,0.05,34518,0.0001,6.64579783915542e-05
190733,127.34,0.6649629200000001,2719,70,3520,0.05,35183,0.0001,0.00013448053505271673
192795,123.38,0.64891364,2755,69,3540,0.05,35698,0.0001,3.358698813826777e-05
195291,125.33,0.6703566799999998,2797,69,3560,0.05,36322,0.0001,9.433650848222896e-05
197910,124.61,0.68508402,2842,69,3580,0.05,36977,0.0001,5.5189091654028744e-05
200454,123.8,0.6925372400000002,2884,69,3600,0.05,37613,0.0001,8.536787936463952e-05
202940,122.07,0.7079236300000001,2926,69,3620,0.05,38234,0.0001,4.3638021452352405e-05
204847,120.52,0.7214743,2957,69,3640,0.05,38711,0.0001,6.615769234485924e-05
206896,116.05,0.69554493,2991,69,3660,0.05,39223,0.0001,1.7154545275843702e-05
209124,112.14,0.6837694000000002,3028,69,3680,0.05,39780,0.0001,2.877576116588898e-05
211477,110.23,0.65963933,3067,68,3700,0.05,40369,0.0001,0.0001279027055716142
213315,103.75,0.62402493,3099,68,3720,0.05,40828,0.0001,4.273138620192185e-05
215679,108.32,0.62488334,3141,68,3740,0.05,41419,0.0001,7.981171074789017e-05
218043,111.47,0.65103073,3183,68,3760,0.05,42010,0.0001,3.5318404115969315e-05
220529,114.05,0.67182723,3229,68,3780,0.05,42632,0.0001,0.00011624769831541926
223161,116.84,0.7139860099999998,3272,68,3800,0.05,43290,0.0001,8.819514187052846e-05
226137,128.22,0.7520090700000002,3319,68,3820,0.05,44034,0.0001,2.1436353563331068e-05
228505,128.26,0.75538015,3357,68,3840,0.05,44626,0.0001,0.00020370398124214262
231404,133.61,0.7371291500000001,3406,67,3860,0.05,45350,0.0001,4.197225280222483e-05
233709,131.8,0.72486994,3448,67,3880,0.05,45927,0.0001,0.00011440101661719382
236535,133.74,0.71814166,3506,67,3900,0.05,46633,0.0001,3.1226369173964486e-05
239813,136.76,0.7230154400000001,3577,67,3920,0.05,47453,0.0001,3.1561306968797e-05
242068,135.63,0.6982988499999999,3631,66,3940,0.05,48016,0.0001,0.00015732189058326185
244612,132.08,0.7002872600000001,3683,66,3960,0.05,48652,0.0001,4.521509981714189e-05
248161,144.52,0.7158148799999999,3751,66,3980,0.05,49540,0.0001,5.0793849368346855e-05
251234,146.99,0.6967184399999999,3809,65,4000,0.05,50308,0.0001,7.809780800016597e-05
254198,143.85,0.6890341400000001,3866,65,4020,0.05,51049,0.0001,7.435558654833585e-05
256859,147.91,0.7136565699999999,3918,65,4040,0.05,51714,0.0001,6.636253965552896e-05
259755,151.43,0.7221280900000002,3982,65,4060,0.05,52438,0.0001,9.620702621759847e-05
262650,144.89,0.7208259999999999,4048,64,4080,0.05,53162,0.0001,6.394489173544571e-05
265585,143.51,0.74259142,4106,64,4100,0.05,53896,0.0001,3.931899118470028e-05
268283,140.85,0.7181763000000001,4149,64,4120,0.05,54570,0.0001,6.193566514411941e-05
271766,149.07,0.7339507000000001,4210,64,4140,0.05,55441,0.0001,9.065025369636714e-05
274550,147.95,0.71217901,4257,64,4160,0.05,56137,0.0001,4.137025825912133e-05
278057,154.07,0.7006770299999999,4315,64,4180,0.05,57014,0.0001,7.855590956751257e-05
280650,150.65,0.6697051099999999,4361,64,4200,0.05,57662,0.0001,5.0564434786792845e-05
283155,148.72,0.6750738500000001,4406,64,4220,0.05,58288,0.0001,7.351803651545197e-05
286026,142.6,0.6707066899999999,4449,64,4240,0.05,59006,0.0001,6.006818875903264e-05
288610,140.6,0.6588712999999998,4489,64,4260,0.05,59652,0.0001,0.00010193156776949763
291538,134.81,0.67254033,4532,64,4280,0.05,60384,0.0001,3.755722354981117e-05
293913,132.63,0.67221443,4570,64,4300,0.05,60978,0.0001,0.00015951809473335743
296527,133.72,0.6819244799999999,4612,64,4320,0.05,61631,0.0001,4.939220525557175e-05
299620,135.94,0.68015445,4673,64,4340,0.05,62404,0.0001,6.072131509426981e-05
301826,132.16,0.6794533299999999,4714,64,4360,0.05,62956,0.0001,0.00012278163922019303
304094,125.56,0.6291009999999999,4751,64,4380,0.05,63523,0.0001,7.054771413095295e-05
306878,129.65,0.6468714900000001,4799,63,4400,0.05,64219,0.0001,3.9401420508511364e-05
309905,133.78,0.63589712,4849,63,4420,0.05,64976,0.0001,7.406555232591927e-05
313508,138.88,0.61166534,4909,63,4440,0.05,65876,0.0001,6.177294562803581e-05
316999,151.73,0.6454487200000001,4970,63,4460,0.05,66749,0.0001,5.606600461760536e-05
321067,169.73,0.6892019900000002,5036,63,4480,0.05,67766,0.0001,6.439790740842e-05
324330,174.52,0.6860409900000001,5095,63,4500,0.05,68582,0.0001,0.00014642573660239577
327509,176.04,0.6695381999999998,5153,63,4520,0.05,69377,0.0001,3.276902862126008e-05
330704,171.96,0.6656261399999999,5211,63,4540,0.05,70175,0.0001,0.00011501745029818267
333433,164.34,0.6283944,5262,63,4560,0.05,70858,0.0001,7.306116458494216e-05
336417,153.5,0.6249359699999999,5324,63,4580,0.05,71604,0.0001,7.259694393724203e-05
338752,144.22,0.596809,5363,63,4600,0.05,72187,0.0001,0.0005584668251685798
341726,142.17,0.61908792,5416,63,4620,0.05,72931,0.0001,8.546398021280766e-05
345233,145.29,0.65765518,5478,63,4640,0.05,73808,0.0001,4.307525887270458e-05
347939,145.06,0.65958653,5524,62,4660,0.05,74484,0.0001,6.013256643200293e-05
350405,139.88,0.6153137099999999,5567,62,4680,0.05,75101,0.0001,0.00027183740166947246
353099,143.47,0.64154009,5618,62,4700,0.05,75774,0.0001,0.00011959012044826522
355475,137.49,0.6126125,5665,62,4720,0.05,76368,0.0001,0.00010791613749461249
357940,127.07,0.5691767200000001,5717,62,4740,0.05,76984,0.0001,5.766817048424855e-05
360076,121.37,0.5654190600000001,5761,62,4760,0.05,77518,0.0001,0.0002589632640592754
361844,114.39,0.5401117799999999,5790,62,4780,0.05,77960,0.0001,0.00013132989988662302
363421,103.22,0.46820575,5817,62,4800,0.05,78355,0.0001,6.0331294662319124e-05
365187,97.12,0.44208682999999993,5860,62,4820,0.05,78796,0.0001,5.980429341434501e-05
367102,91.62,0.41916217000000006,5902,62,4840,0.05,79275,0.0001,8.651678217574954e-05
369207,91.31,0.40686019,5935,62,4860,0.05,79801,0.0001,3.112554986728355e-05
371853,100.09,0.45277526,5978,62,4880,0.05,80463,0.0001,0.0003142051282338798
374948,115.27,0.51796247,6031,62,4900,0.05,81236,0.0001,6.160434713819996e-05
377655,124.68,0.57298237,6079,62,4920,0.05,81913,0.0001,5.911747575737536e-05
380850,137.48,0.60926678,6140,62,4940,0.05,82712,0.0001,0.00013673730427399278
383450,142.43,0.63706087,6186,61,4960,0.05,83362,0.0001,4.07372135668993e-05
386542,146.89,0.6520107999999999,6236,61,4980,0.05,84135,0.0001,0.00010723581362981349
388904,139.56,0.63685437,6274,61,5000,0.05,84725,0.0001,5.245176362222992e-05
391476,138.21,0.6259449599999999,6317,61,5020,0.05,85368,0.0001,0.00032887549605220556
394079,132.29,0.6400761199999999,6365,61,5040,0.05,86019,0.0001,5.81546664761845e-05
397178,137.28,0.66571856,6432,61,5060,0.05,86794,0.0001,0.00012915223487652838
399965,134.23,0.65742921,6497,61,5080,0.05,87491,0.0001,0.00010106847912538797
401940,130.36,0.6564261099999998,6532,61,5100,0.05,87984,0.0001,6.860661960672587e-05
404678,132.02,0.6754715,6576,61,5120,0.05,88669,0.0001,4.779029404744506e-05
406816,127.37,0.65390693,6613,61,5140,0.05,89203,0.0001,7.871635170886293e-05
410099,129.21,0.65891405,6681,61,5160,0.05,90024,0.0001,0.0001510501024313271
413093,131.28,0.6746534299999999,6744,61,5180,0.05,90773,0.0001,7.069275307003409e-05
415504,135.64,0.7003708399999999,6787,61,5200,0.05,91375,0.0001,6.06485155003611e-05
417931,132.53,0.69979448,6839,61,5220,0.05,91982,0.0001,5.4890373576199636e-05
420624,138.08,0.7024162899999999,6898,60,5240,0.05,92655,0.0001,0.00010321917943656445
422569,124.7,0.6727682,6936,60,5260,0.05,93142,0.0001,0.00014724429638590664
424504,114.11,0.6481344100000002,6969,60,5280,0.05,93625,0.0001,8.702817285666242e-05
427260,117.56,0.6387662599999999,7020,60,5300,0.05,94314,0.0001,7.197073864517733e-05
429645,117.14,0.62156094,7059,60,5320,0.05,94911,0.0001,4.0144994272850454e-05
431622,109.98,0.6006119,7094,60,5340,0.05,95405,0.0001,0.000125052421935834
433896,113.27,0.6201914900000001,7135,60,5360,0.05,95973,0.0001,0.00010442914208397269
436029,115.25,0.6031553599999999,7170,60,5380,0.05,96507,0.0001,4.475442983675748e-05
438529,112.69,0.5859619500000001,7211,60,5400,0.05,97132,0.0001,5.69307230762206e-05
441265,116.2,0.5826274699999999,7256,60,5420,0.05,97816,0.0001,0.00020811405556742102
443713,120.91,0.61702726,7296,60,5440,0.05,98428,0.0001,0.00010769350046757609
446314,124.18,0.6092628699999999,7338,60,5460,0.05,99078,0.0001,0.0001437058235751465
448771,127.42,0.63533151,7377,60,5480,0.05,99692,0.0001,0.0002860703389160335
451366,128.37,0.66192869,7421,60,5500,0.05,100341,0.0001,0.0014910036697983742
453557,122.92,0.6676976499999999,7457,60,5520,0.05,100889,0.0001,9.667434642324224e-05
455831,121.18,0.65676263,7493,60,5540,0.05,101457,0.0001,0.0001121407694881782
458362,120.48,0.6403179,7533,60,5560,0.05,102090,0.0001,0.0004903655499219894
460720,119.49,0.63260147,7573,60,5580,0.05,102679,0.0001,6.001281144563109e-05
463986,126.2,0.6289278399999999,7625,60,5600,0.05,103496,0.0001,4.022322173113935e-05
466545,129.88,0.6223718300000001,7669,60,5620,0.05,104136,0.0001,7.341924356296659e-05
469309,134.78,0.6385953900000001,7715,60,5640,0.05,104827,0.0001,4.415813600644469e-05
473137,147.75,0.63990673,7782,60,5660,0.05,105784,0.0001,0.0001474616292398423
475726,150.06,0.6289985,7826,60,5680,0.05,106431,0.0001,9.3683491286356e-05
477998,140.12,0.59250523,7868,60,5700,0.05,106999,0.0001,0.00020047165162395686
481900,153.55,0.61942481,7941,60,5720,0.05,107974,0.0001,6.935826240805909e-05
484224,149.15,0.61111333,7980,60,5740,0.05,108555,0.0001,0.0013507669791579247
487246,141.09,0.63525012,8031,60,5760,0.05,109311,0.0001,7.164433191064745e-05
490134,144.08,0.6671688700000001,8079,60,5780,0.05,110033,0.0001,0.00012489307846408337
492576,145.78,0.6834497200000001,8119,60,5800,0.05,110643,0.0001,0.0002784050884656608
494445,125.45,0.61810433,8148,60,5820,0.05,111111,0.0001,0.00010523776290938258
498497,142.73,0.6291103899999999,8217,60,5840,0.05,112124,0.0001,6.093929550843313e-05
501386,141.4,0.6025362900000001,8275,60,5860,0.05,112846,0.0001,6.764808495063335e-05
504075,139.41,0.5941295799999999,8323,60,5880,0.05,113518,0.0001,0.0004209386243019253
506494,139.18,0.57951062,8365,60,5900,0.05,114123,0.0001,7.6514836109709e-05
509593,151.48,0.6361009,8423,60,5920,0.05,114898,0.0001,7.635680958628654e-05
512577,140.8,0.5866872799999999,8483,60,5940,0.05,115644,0.0001,7.299785647774115e-05
515284,138.98,0.58398388,8534,60,5960,0.05,116320,0.0001,0.00015322306717280298
517778,137.03,0.5492259800000001,8583,60,5980,0.05,116944,0.0001,0.00012436602264642715
519632,131.38,0.51912655,8624,60,6000,0.05,117407,0.0001,9.861708531389013e-05
522461,128.68,0.48717568,8688,60,6020,0.05,118115,0.0001,8.501432603225112e-05
525392,128.15,0.51263751,8750,60,6040,0.05,118847,0.0001,5.194280674913898e-05
528391,131.07,0.5188267400000001,8812,59,6060,0.05,119597,0.0001,8.838759822538123e-05
532063,142.85,0.54074197,8878,59,6080,0.05,120515,0.0001,9.53808703343384e-05
536520,168.88,0.6138680700000001,8960,59,6100,0.05,121629,0.0001,0.00013830405077897012
540217,177.56,0.6368392199999999,9028,59,6120,0.05,122554,0.0001,0.00011311450361972675
544195,188.03,0.6581620300000001,9096,59,6140,0.05,123548,0.0001,3.668606950668618e-05
547507,191.16,0.68052943,9152,59,6160,0.05,124376,0.0001,9.916290582623333e-05
551684,196.21,0.7098984199999999,9227,59,6180,0.05,125420,0.0001,7.330164953600615e-05
555280,187.6,0.7022678800000002,9298,59,6200,0.05,126319,0.0001,0.0001122622998082079
559702,194.85,0.7208306200000001,9386,59,6220,0.05,127425,0.0001,8.050560427363962e-05
563481,192.86,0.7199458900000002,9470,59,6240,0.05,128370,0.0001,0.00011340078344801441
566120,186.13,0.6872033199999998,9530,59,6260,0.05,129029,0.0001,7.637636008439586e-05
568905,172.21,0.64675642,9587,59,6280,0.05,129726,0.0001,0.00014119954721536487
572068,167.88,0.64793788,9648,59,6300,0.05,130516,0.0001,0.0001140816166298464
574874,151.72,0.60972836,9701,59,6320,0.05,131218,0.0001,0.00018749857554212213
578376,148.95,0.6010202,9769,59,6340,0.05,132093,0.0001,5.204001354286447e-05
581839,157.19,0.6200191599999999,9836,59,6360,0.05,132959,0.0001,0.0001459301565773785
