time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
1222,0.13404797000000002,29.77,123317,3740,100,0.05,1.9070714918537712e-05,2.206793260484119e-05,7010
1231,0.13757481,29.91,123892,3760,100,0.05,1.9070714918537712e-05,2.8171216990813262e-05,7080
1239,0.14638236999999998,28.68,124468,3780,100,0.05,1.9070714918537712e-05,2.4074982547972468e-05,7140
1252,0.15601191,31.69,125279,3800,100,0.05,1.9070714918537712e-05,1.9036472849620623e-05,7210
1262,0.15676899,30.96,125815,3820,99,0.05,1.9070714918537712e-05,2.0266198634999456e-05,7280
1277,0.16427443000000003,32.97,126614,3840,99,0.05,1.9070714918537712e-05,2.5252525801988668e-05,7340
1288,0.16357027999999996,35.02,127394,3860,98,0.05,1.9070714918537712e-05,3.1460836908081546e-05,7410
1297,0.16104376,34.23,127891,3880,98,0.05,1.9070714918537712e-05,2.7954108008998447e-05,7480
1305,0.15135571999999997,32.22,128501,3900,98,0.05,1.9070714918537712e-05,3.143822932543117e-05,7540
1315,0.15154399000000002,32.34,129049,3920,98,0.05,1.9070714918537712e-05,2.4036926561166183e-05,7610
1330,0.15156502000000002,32.39,129853,3940,97,0.05,1.9070714918537712e-05,1.7445748903810453e-05,7680
1341,0.1527184,30.08,130402,3960,97,0.05,1.9070714918537712e-05,8.98857770152972e-06,7740
1352,0.15444317,32.01,131092,3980,96,0.05,1.9070714918537712e-05,2.5961638675653377e-05,7810
1364,0.16142115999999998,31.84,131685,4000,96,0.05,1.9070714918537712e-05,2.9861228176741862e-05,7880
1385,0.16957039,39.86,133035,4020,96,0.05,1.9070714918537712e-05,1.9303448834762093e-05,7940
1396,0.16529890000000003,38.89,133742,4040,95,0.05,1.9070714918537712e-05,2.84032972103887e-05,8010
1405,0.15761251999999998,39.44,134346,4060,95,0.05,1.9070714918537712e-05,2.1245676043690766e-05,8080
1420,0.16723733999999996,43.88,135480,4080,95,0.05,1.9070714918537712e-05,1.9455103893051273e-05,8140
1431,0.1626244,45.41,136226,4100,95,0.05,1.9070714918537712e-05,1.4962231671233894e-05,8210
1440,0.15819269000000002,37.83,136818,4120,94,0.05,1.9070714918537712e-05,1.8538192125561182e-05,8280
1450,0.15544822000000003,37.56,137498,4140,94,0.05,1.9070714918537712e-05,2.4780496960374877e-05,8340
1460,0.16573062000000005,37.97,138143,4160,94,0.05,1.9070714918537712e-05,1.6852791623023224e-05,8410
1470,0.15576453,32.19,138699,4180,94,0.05,1.9070714918537712e-05,1.3071755984128685e-05,8480
1480,0.16018152,32.02,139428,4200,94,0.05,1.9070714918537712e-05,1.5606820807079202e-05,8540
1491,0.16298802,34.07,140225,4220,93,0.05,1.9070714918537712e-05,2.4850136651366483e-05,8610
1503,0.17161057999999996,35.98,141096,4240,93,0.05,1.9070714918537712e-05,2.56857764270535e-05,8680
1514,0.16599639,37.17,141860,4260,93,0.05,1.9070714918537712e-05,2.517488042030891e-05,8740
1525,0.16262808,37.24,142423,4280,93,0.05,1.9070714918537712e-05,2.360073008276231e-05,8810
1538,0.16250230000000002,38.43,143271,4300,93,0.05,1.9070714918537712e-05,1.8039304632111452e-05,8880
1548,0.15968355,35.68,143793,4320,92,0.05,1.9070714918537712e-05,4.519463109318167e-05,8940
1562,0.16693923000000002,36.12,144708,4340,92,0.05,1.9070714918537712e-05,1.831831914387294e-05,9010
1570,0.16471428999999996,33.55,145215,4360,92,0.05,1.9070714918537712e-05,2.5694949272292433e-05,9080
1580,0.17230672000000002,34.6,145883,4380,92,0.05,1.9070714918537712e-05,2.8805007377741277e-05,9140
1603,0.18206562,41.81,147452,4400,91,0.05,1.9070714918537712e-05,4.9315499018121046e-05,9210
1617,0.18258038999999995,46.43,148436,4420,91,0.05,1.9070714918537712e-05,2.4482455091856537e-05,9280
1626,0.17069529,43.32,149040,4440,91,0.05,1.9070714918537712e-05,2.0747867347381542e-05,9340
1636,0.17266375,43.73,149588,4460,91,0.05,1.9070714918537712e-05,5.327476360434957e-05,9410
1645,0.16268052000000005,41.55,150038,4480,91,0.05,1.9070714918537712e-05,1.522976390333497e-05,9480
1661,0.15591913999999998,36.85,151137,4500,90,0.05,1.9070714918537712e-05,1.9767986304941588e-05,9540
1670,0.15862167999999996,33.09,151745,4520,90,0.05,1.9070714918537712e-05,1.660880293457012e-05,9610
1679,0.15245904000000002,32.25,152265,4540,90,0.05,1.9070714918537712e-05,1.9712201356014704e-05,9680
1691,0.15715156,34.15,153003,4560,90,0.05,1.9070714918537712e-05,1.8448268656356957e-05,9740
1702,0.16127553,37.22,153760,4580,90,0.05,1.9070714918537712e-05,3.454204920672055e-05,9810
1713,0.15708350999999998,33.61,154498,4600,90,0.05,1.9070714918537712e-05,2.4664866850798715e-05,9880
1728,0.15224912999999998,36.86,155431,4620,89,0.05,1.9070714918537712e-05,3.1913836664898554e-05,9940
1737,0.15475404,37.38,156003,4640,89,0.05,1.9070714918537712e-05,2.0819671499339164e-05,10010
1750,0.15424745,38.51,156854,4660,89,0.05,1.9070714918537712e-05,2.6622115774443957e-05,10080
1767,0.15988801,42.28,157988,4680,89,0.05,1.9070714918537712e-05,3.447017502367089e-05,10140
1777,0.16260628,41.68,158666,4700,89,0.05,1.9070714918537712e-05,1.5482226126550812e-05,10210
1792,0.16845795,40.78,159509,4720,89,0.05,1.9070714918537712e-05,2.8815573750762268e-05,10280
1801,0.17268134,40.33,160036,4740,88,0.05,1.9070714918537712e-05,3.79484332370339e-05,10340
1811,0.16667286,37.21,160575,4760,88,0.05,1.9070714918537712e-05,2.711307233767002e-05,10410
1821,0.16678618000000003,32.19,161207,4780,88,0.05,1.9070714918537712e-05,3.575056848603708e-05,10480
1831,0.1634861,31.48,161814,4800,88,0.05,1.9070714918537712e-05,3.4064630563079844e-05,10540
1848,0.16054106,35.81,163090,4820,88,0.05,1.9070714918537712e-05,2.5888195250445278e-05,10610
1856,0.15696828999999998,36.11,163647,4840,88,0.05,1.9070714918537712e-05,2.4364691989831043e-05,10680
1867,0.16659811999999996,39.13,164488,4860,88,0.05,1.9070714918537712e-05,1.988225408240396e-05,10740
1877,0.16143663,38.97,165104,4880,87,0.05,1.9070714918537712e-05,2.2435705113821312e-05,10810
1885,0.15570332999999997,38.24,165638,4900,87,0.05,1.9070714918537712e-05,2.785420101645286e-05,10880
1899,0.16923159000000002,35.31,166621,4920,87,0.05,1.9070714918537712e-05,2.660655136423884e-05,10940
1912,0.1758622,38.86,167533,4940,87,0.05,1.9070714918537712e-05,6.261113321670564e-05,11010
1921,0.16366726,35.95,168083,4960,87,0.05,1.9070714918537712e-05,2.5613528850954027e-05,11080
1933,0.1656012,35.6,168664,4980,87,0.05,1.9070714918537712e-05,3.175646334057092e-05,11140
1944,0.17311421,38.14,169452,5000,87,0.05,1.9070714918537712e-05,2.3663496881454195e-05,11210
1959,0.16339581999999997,35.85,170206,5020,86,0.05,1.9070714918537712e-05,3.54588763002539e-05,11280
